"gene_type" "gene_name"
"10683" "protein_coding" "TPRG1L"
"10712" "protein_coding" "WRAP73"
"10843" "protein_coding" "TP73"
"11176" "lncRNA" "AL136528.1"
"11181" "lncRNA" "AL136528.2"
"11185" "protein_coding" "CCDC27"
"11251" "protein_coding" "SMIM1"
"11294" "protein_coding" "LRRC47"
"11332" "lncRNA" "AL365330.1"
"11335" "protein_coding" "CEP104"
"11491" "protein_coding" "DFFB"
"11686" "protein_coding" "C1orf174"
"11710" "lncRNA" "LINC01134"
"11726" "lncRNA" "LINC01346"
"11742" "lncRNA" "LINC01345"
"11762" "lncRNA" "LINC02780"
"11779" "lncRNA" "AL805961.1"
"11783" "lncRNA" "LINC01777"
"11859" "lncRNA" "AL355602.1"
"11863" "lncRNA" "Z98747.1"
"11867" "lncRNA" "LINC01646"
"11903" "protein_coding" "AJAP1"
"11941" "lncRNA" "Z98886.1"
"11948" "lncRNA" "BX005132.1"
"11953" "lncRNA" "LINC02781"
"11960" "lncRNA" "LINC02782"
"11966" "lncRNA" "AL139823.1"
"11972" "lncRNA" "Z98259.3"
"11986" "lncRNA" "Z98259.2"
"11990" "lncRNA" "Z98259.1"
"11993" "lncRNA" "AL365255.1"
"12001" "protein_coding" "NPHP4"
"12302" "protein_coding" "KCNAB2"
"13298" "protein_coding" "CHD5"
"13594" "protein_coding" "RPL22"
"13673" "lncRNA" "AL031847.1"
"13678" "protein_coding" "RNF207"
"13763" "protein_coding" "ICMT"
"13813" "lncRNA" "LINC00337"
"13828" "protein_coding" "HES3"
"13842" "protein_coding" "GPR153"
"13860" "protein_coding" "ACOT7"
"14072" "lncRNA" "AL031848.2"
"14075" "protein_coding" "HES2"
"14138" "protein_coding" "ESPN"
"14366" "lncRNA" "AL031848.1"
"14371" "protein_coding" "TNFRSF25"
"14685" "protein_coding" "PLEKHG5"
"15244" "protein_coding" "NOL9"
"15289" "protein_coding" "TAS1R1"
"15340" "protein_coding" "ZBTB48"
"15433" "protein_coding" "KLHL21"
"15503" "protein_coding" "PHF13"
"15520" "protein_coding" "THAP3"
"15605" "protein_coding" "DNAJC11"
"15761" "lncRNA" "LINC01672"
"15782" "lncRNA" "AL591163.1"
"15787" "lncRNA" "CAMTA1-DT"
"15792" "protein_coding" "CAMTA1"
"15997" "lncRNA" "AL512330.1"
"16001" "lncRNA" "CAMTA1-IT1"
"16005" "lncRNA" "Z97987.1"
"16013" "lncRNA" "AL365194.1"
"16017" "lncRNA" "AL359881.3"
"16020" "lncRNA" "AL359881.2"
"16023" "lncRNA" "AL359881.1"
"16026" "protein_coding" "VAMP3"
"16061" "lncRNA" "Z98884.2"
"16064" "protein_coding" "PER3"
"16298" "lncRNA" "Z98884.1"
"16303" "protein_coding" "UTS2"
"16350" "protein_coding" "TNFRSF9"
"16417" "protein_coding" "PARK7"
"16560" "lncRNA" "AL034417.4"
"16571" "lncRNA" "AL034417.3"
"16575" "protein_coding" "ERRFI1"
"16633" "lncRNA" "AL034417.2"
"16638" "lncRNA" "LINC01714"
"16655" "lncRNA" "AL358876.2"
"16659" "protein_coding" "SLC45A1"
"16713" "protein_coding" "RERE"
"17090" "lncRNA" "RERE-AS1"
"17105" "lncRNA" "AL357552.2"
"17109" "protein_coding" "ENO1"
"17350" "lncRNA" "ENO1-AS1"
"17354" "protein_coding" "CA6"
"17447" "protein_coding" "SLC2A7"
"17476" "protein_coding" "SLC2A5"
"17632" "protein_coding" "GPR157"
"17654" "lncRNA" "MIR34AHG"
"17666" "lncRNA" "LNCTAM34A"
"17692" "protein_coding" "H6PD"
"17726" "protein_coding" "SPSB1"
"17765" "lncRNA" "BX323043.1"
"17768" "lncRNA" "LINC02606"
"17778" "lncRNA" "AL928921.1"
"17782" "protein_coding" "SLC25A33"
"17802" "protein_coding" "TMEM201"
"17884" "protein_coding" "PIK3CD"
"18161" "lncRNA" "PIK3CD-AS1"
"18165" "lncRNA" "PIK3CD-AS2"
"18170" "protein_coding" "CLSTN1"
"18335" "protein_coding" "CTNNBIP1"
"18398" "lncRNA" "AL357140.1"
"18403" "lncRNA" "AL357140.4"
"18408" "protein_coding" "LZIC"
"18486" "lncRNA" "AL357140.2"
"18490" "protein_coding" "NMNAT1"
"18548" "lncRNA" "AL603962.1"
"18552" "protein_coding" "RBP7"
"18581" "protein_coding" "UBE4B"
"18825" "protein_coding" "KIF1B"
"19475" "lncRNA" "AL139424.3"
"19485" "lncRNA" "AL139424.2"
"19498" "protein_coding" "PGD"
"19619" "lncRNA" "AL139424.1"
"19622" "protein_coding" "CENPS"
"19671" "protein_coding" "CORT"
"19681" "protein_coding" "DFFA"
"19729" "lncRNA" "AL354956.1"
"19733" "protein_coding" "PEX14"
"19780" "lncRNA" "AL139423.2"
"19784" "protein_coding" "CASZ1"
"19904" "lncRNA" "AL139423.1"
"19908" "protein_coding" "C1orf127"
"19995" "protein_coding" "TARDBP"
"20393" "protein_coding" "MASP2"
"20443" "lncRNA" "AL109811.2"
"20449" "protein_coding" "SRM"
"20512" "protein_coding" "EXOSC10"
"20678" "lncRNA" "AL109811.1"
"20682" "lncRNA" "EXOSC10-AS1"
"20689" "protein_coding" "MTOR"
"20897" "lncRNA" "MTOR-AS1"
"20908" "protein_coding" "ANGPTL7"
"20928" "protein_coding" "UBIAD1"
"20969" "lncRNA" "AL031291.1"
"20975" "protein_coding" "DISP3"
"21041" "lncRNA" "AL590989.1"
"21045" "lncRNA" "LINC01647"
"21050" "lncRNA" "AL031731.1"
"21054" "protein_coding" "FBXO2"
"21108" "protein_coding" "FBXO44"
"21250" "protein_coding" "FBXO6"
"21284" "protein_coding" "MAD2L2"
"21446" "protein_coding" "DRAXIN"
"21466" "protein_coding" "AGTRAP"
"21624" "protein_coding" "C1orf167"
"21764" "lncRNA" "AL953897.1"
"21769" "protein_coding" "MTHFR"
"22097" "protein_coding" "CLCN6"
"22360" "protein_coding" "NPPA"
"22396" "protein_coding" "NPPB"
"22408" "lncRNA" "AL021155.5"
"22427" "protein_coding" "KIAA2013"
"22461" "protein_coding" "PLOD1"
"22574" "lncRNA" "AL096840.2"
"22577" "protein_coding" "MFN2"
"22687" "protein_coding" "MIIP"
"22747" "protein_coding" "TNFRSF8"
"22869" "lncRNA" "AL357835.1"
"22875" "protein_coding" "TNFRSF1B"
"22930" "protein_coding" "VPS13D"
"23576" "lncRNA" "LINC02766"
"23580" "protein_coding" "DHRS3"
"23623" "lncRNA" "AC254633.1"
"23626" "protein_coding" "AADACL4"
"23639" "protein_coding" "AADACL3"
"23657" "protein_coding" "C1orf158"
"23685" "protein_coding" "PRAMEF12"
"23697" "protein_coding" "PRAMEF1"
"23714" "lncRNA" "LINC01784"
"23718" "protein_coding" "PRAMEF11"
"23732" "protein_coding" "HNRNPCL1"
"23742" "protein_coding" "PRAMEF2"
"23756" "protein_coding" "PRAMEF4"
"23770" "protein_coding" "PRAMEF10"
"23784" "protein_coding" "PRAMEF7"
"23808" "protein_coding" "PRAMEF6"
"23835" "protein_coding" "PRAMEF27"
"23849" "protein_coding" "HNRNPCL3"
"23859" "protein_coding" "PRAMEF25"
"23886" "protein_coding" "HNRNPCL2"
"23896" "lncRNA" "AC245056.1"
"23900" "protein_coding" "PRAMEF26"
"23914" "protein_coding" "HNRNPCL4"
"23921" "protein_coding" "PRAMEF9"
"23935" "protein_coding" "PRAMEF13"
"23958" "protein_coding" "PRAMEF18"
"23969" "protein_coding" "PRAMEF5"
"23983" "protein_coding" "PRAMEF8"
"24020" "protein_coding" "PRAMEF33"
"24034" "protein_coding" "PRAMEF15"
"24048" "lncRNA" "AC243961.1"
"24052" "protein_coding" "PRAMEF14"
"24069" "protein_coding" "PRAMEF19"
"24080" "protein_coding" "PRAMEF17"
"24092" "protein_coding" "PRAMEF20"
"24117" "protein_coding" "LRRC38"
"24127" "lncRNA" "AL354712.1"
"24132" "protein_coding" "PDPN"
"24327" "lncRNA" "AL359771.1"
"24331" "protein_coding" "PRDM2"
"24521" "protein_coding" "KAZN"
"24714" "lncRNA" "AL357873.1"
"24724" "lncRNA" "KAZN-AS1"
"24763" "lncRNA" "AL031293.1"
"24767" "lncRNA" "TMEM51-AS1"
"24797" "protein_coding" "TMEM51"
"24868" "lncRNA" "C1orf195"
"24875" "protein_coding" "FHAD1"
"25280" "lncRNA" "AL031283.2"
"25284" "lncRNA" "AL031283.3"
"25288" "lncRNA" "AL031283.1"
"25297" "protein_coding" "EFHD2"
"25324" "protein_coding" "CTRC"
"25372" "protein_coding" "CELA2A"
"25402" "protein_coding" "CELA2B"
"25444" "protein_coding" "CASP9"
"25626" "protein_coding" "DNAJC16"
"25833" "lncRNA" "AL121992.3"
"25836" "protein_coding" "AGMAT"
"25856" "lncRNA" "AL121992.1"
"25860" "protein_coding" "DDI2"
"25927" "protein_coding" "RSC1A1"
"25934" "lncRNA" "AL121992.2"
"25937" "protein_coding" "PLEKHM2"
"26087" "lncRNA" "AL450998.3"
"26103" "protein_coding" "SLC25A34"
"26127" "lncRNA" "SLC25A34-AS1"
"26131" "protein_coding" "TMEM82"
"26153" "protein_coding" "FBLIM1"
"26342" "protein_coding" "UQCRHL"
"26350" "lncRNA" "AL450998.2"
"26354" "protein_coding" "SPEN"
"26422" "protein_coding" "ZBTB17"
"26603" "protein_coding" "SRARP"
"26613" "lncRNA" "AL355994.3"
"26617" "protein_coding" "HSPB7"
"26687" "protein_coding" "CLCNKA"
"26868" "protein_coding" "CLCNKB"
"26991" "protein_coding" "FAM131C"
"27018" "protein_coding" "EPHA2"
"27071" "lncRNA" "AL451042.2"
"27075" "lncRNA" "AL451042.1"
"27079" "lncRNA" "ARHGEF19-AS1"
"27083" "protein_coding" "ARHGEF19"
"27163" "lncRNA" "AL109627.1"
"27166" "protein_coding" "CPLANE2"
"27191" "protein_coding" "FBXO42"
"27241" "protein_coding" "SZRD1"
"27329" "protein_coding" "SPATA21"
"27446" "protein_coding" "NECAP2"
"27623" "lncRNA" "LINC01772"
"27627" "lncRNA" "AL137802.2"
"27630" "lncRNA" "AL137802.1"
"27634" "lncRNA" "LINC01783"
"27641" "protein_coding" "NBPF1"
"27824" "lncRNA" "AL137798.1"
"27827" "lncRNA" "AL137798.2"
"27832" "lncRNA" "AL021920.1"
"27837" "lncRNA" "AL021920.3"
"27842" "protein_coding" "CROCC"
"28072" "lncRNA" "BX284668.1"
"28082" "lncRNA" "BX284668.2"
"28113" "lncRNA" "BX284668.5"
"28134" "lncRNA" "BX284668.6"
"28137" "protein_coding" "MFAP2"
"28207" "lncRNA" "AL049569.2"
"28211" "lncRNA" "AL049569.1"
"28215" "protein_coding" "ATP13A2"
"28572" "protein_coding" "SDHB"
"28646" "protein_coding" "PADI2"
"28724" "lncRNA" "LINC02783"
"28734" "lncRNA" "AL590644.1"
"28741" "protein_coding" "PADI1"
"28791" "protein_coding" "PADI3"
"28829" "protein_coding" "PADI4"
"28894" "protein_coding" "PADI6"
"28932" "lncRNA" "RCC2-AS1"
"28936" "protein_coding" "RCC2"
"29000" "protein_coding" "ARHGEF10L"
"29240" "lncRNA" "LINC02810"
"29259" "protein_coding" "ACTL8"
"29280" "lncRNA" "AL357509.1"
"29286" "lncRNA" "LINC01654"
"29291" "protein_coding" "IGSF21"
"29334" "lncRNA" "IGSF21-AS1"
"29340" "lncRNA" "AL591896.1"
"29344" "protein_coding" "KLHDC7A"
"29351" "protein_coding" "PAX7"
"29417" "protein_coding" "TAS1R2"
"29435" "protein_coding" "ALDH4A1"
"29596" "protein_coding" "IFFO2"
"29648" "lncRNA" "AL137127.1"
"29651" "protein_coding" "UBR4"
"30144" "lncRNA" "EMC1-AS1"
"30148" "protein_coding" "EMC1"
"30373" "protein_coding" "MRTO4"
"30403" "protein_coding" "AKR7A3"
"30423" "protein_coding" "AKR7A2"
"30488" "protein_coding" "SLC66A1"
"30609" "protein_coding" "CAPZB"
"30748" "protein_coding" "MICOS10"
"30826" "lncRNA" "AL031727.2"
"30830" "protein_coding" "NBL1"
"30999" "protein_coding" "HTR6"
"31011" "protein_coding" "TMCO4"
"31124" "protein_coding" "RNF186"
"31132" "lncRNA" "AL391883.1"
"31136" "protein_coding" "OTUD3"
"31165" "protein_coding" "PLA2G2E"
"31179" "protein_coding" "PLA2G2A"
"31254" "protein_coding" "PLA2G5"
"31328" "protein_coding" "PLA2G2D"
"31353" "protein_coding" "PLA2G2F"
"31372" "lncRNA" "Z98257.1"
"31385" "protein_coding" "PLA2G2C"
"31412" "lncRNA" "UBXN10-AS1"
"31416" "protein_coding" "UBXN10"
"31426" "lncRNA" "LINC01757"
"31434" "lncRNA" "Z98257.2"
"31442" "protein_coding" "VWA5B1"
"31683" "lncRNA" "AL020998.1"
"31687" "lncRNA" "LINC01141"
"31773" "lncRNA" "AL139254.1"
"31778" "lncRNA" "AL139254.2"
"31785" "lncRNA" "AL139254.3"
"31789" "protein_coding" "CAMK2N1"
"31802" "protein_coding" "MUL1"
"31816" "protein_coding" "FAM43B"
"31824" "protein_coding" "CDA"
"31842" "protein_coding" "PINK1"
"31875" "lncRNA" "PINK1-AS"
"31880" "protein_coding" "DDOST"
"31979" "protein_coding" "KIF17"
"32122" "protein_coding" "SH2D5"
"32232" "lncRNA" "AL663074.1"
"32236" "protein_coding" "HP1BP3"
"32426" "protein_coding" "EIF4G3"
"32894" "lncRNA" "AL031005.2"
"32897" "protein_coding" "ECE1"
"33216" "lncRNA" "AL031005.1"
"33221" "lncRNA" "AL031728.1"
"33230" "lncRNA" "AL592309.2"
"33239" "protein_coding" "NBPF3"
"33516" "protein_coding" "ALPL"
"33649" "lncRNA" "LINC02596"
"33653" "protein_coding" "RAP1GAP"
"34123" "protein_coding" "USP48"
"34440" "protein_coding" "LDLRAD2"
"34476" "protein_coding" "HSPG2"
"34794" "protein_coding" "CELA3B"
"34840" "protein_coding" "CELA3A"
"34878" "lncRNA" "LINC01635"
"34899" "lncRNA" "LINC00339"
"34948" "protein_coding" "CDC42"
"35132" "lncRNA" "CDC42-AS1"
"35137" "lncRNA" "CDC42-IT1"
"35141" "protein_coding" "WNT4"
"35173" "lncRNA" "AL445253.1"
"35180" "protein_coding" "ZBTB40"
"35340" "lncRNA" "ZBTB40-IT1"
"35344" "protein_coding" "EPHA8"
"35399" "protein_coding" "C1QA"
"35429" "protein_coding" "C1QC"
"35463" "protein_coding" "C1QB"
"35506" "protein_coding" "EPHB2"
"35685" "lncRNA" "AL512444.1"
"35689" "protein_coding" "LACTBL1"
"35720" "protein_coding" "TEX46"
"35748" "protein_coding" "KDM1A"
"35901" "lncRNA" "AL031428.1"
"35905" "protein_coding" "LUZP1"
"35967" "protein_coding" "HTR1D"
"35975" "lncRNA" "LINC01355"
"35994" "lncRNA" "AL109936.6"
"35998" "protein_coding" "HNRNPR"
"36193" "protein_coding" "ZNF436"
"36218" "lncRNA" "ZNF436-AS1"
"36241" "lncRNA" "AL109936.2"
"36244" "protein_coding" "TCEA3"
"36337" "protein_coding" "ASAP3"
"36636" "protein_coding" "E2F2"
"36659" "lncRNA" "AL021154.1"
"36663" "protein_coding" "ID3"
"36681" "lncRNA" "AL450043.1"
"36687" "lncRNA" "MDS2"
"36708" "protein_coding" "RPL11"
"36786" "lncRNA" "ELOA-AS1"
"36809" "protein_coding" "ELOA"
"36896" "protein_coding" "PITHD1"
"36936" "protein_coding" "LYPLA2"
"37102" "protein_coding" "GALE"
"37300" "protein_coding" "HMGCL"
"37393" "protein_coding" "FUCA1"
"37415" "protein_coding" "CNR2"
"37425" "lncRNA" "AL590609.3"
"37429" "protein_coding" "PNRC2"
"37482" "protein_coding" "SRSF10"
"37661" "lncRNA" "AL591178.1"
"37667" "protein_coding" "MYOM3"
"37790" "lncRNA" "AL591178.2"
"37795" "protein_coding" "IL22RA1"
"37815" "protein_coding" "IFNLR1"
"37899" "lncRNA" "LINC02800"
"37904" "lncRNA" "AL138902.1"
"37911" "protein_coding" "GRHL3"
"38118" "protein_coding" "STPG1"
"38242" "protein_coding" "NIPAL3"
"38373" "lncRNA" "RCAN3AS"
"38394" "protein_coding" "RCAN3"
"38533" "lncRNA" "NCMAP-DT"
"38538" "protein_coding" "NCMAP"
"38557" "protein_coding" "SRRM1"
"38845" "lncRNA" "AL445648.1"
"38851" "protein_coding" "CLIC4"
"38898" "protein_coding" "RUNX3"
"38960" "lncRNA" "AL445471.1"
"38965" "lncRNA" "AL445471.2"
"38968" "lncRNA" "LINC02793"
"38976" "lncRNA" "AL050344.1"
"38984" "lncRNA" "AL031432.1"
"38988" "protein_coding" "SYF2"
"39031" "lncRNA" "AL031432.4"
"39034" "lncRNA" "AL031432.5"
"39037" "protein_coding" "RSRP1"
"39195" "lncRNA" "AL031432.3"
"39198" "protein_coding" "RHD"
"39417" "protein_coding" "TMEM50A"
"39467" "protein_coding" "RHCE"
"39643" "protein_coding" "MACO1"
"39725" "protein_coding" "LDLRAP1"
"39777" "lncRNA" "AL606491.1"
"39781" "protein_coding" "MAN1C1"
"39922" "lncRNA" "AL031280.1"
"39926" "protein_coding" "SELENON"
"40040" "lncRNA" "AL020996.1"
"40053" "protein_coding" "MTFR1L"
"40384" "lncRNA" "AL020996.3"
"40387" "protein_coding" "AUNIP"
"40415" "lncRNA" "AL033528.2"
"40419" "protein_coding" "PAQR7"
"40429" "protein_coding" "STMN1"
"40527" "protein_coding" "PAFAH2"
"40628" "protein_coding" "EXTL1"
"40672" "protein_coding" "SLC30A2"
"40717" "lncRNA" "AL391650.2"
"40721" "protein_coding" "TRIM63"
"40749" "protein_coding" "PDIK1L"
"40794" "protein_coding" "FAM110D"
"40804" "protein_coding" "C1orf232"
"40829" "protein_coding" "AL391650.1"
"40882" "protein_coding" "ZNF593"
"40903" "protein_coding" "CNKSR1"
"41214" "protein_coding" "CATSPER4"
"41285" "protein_coding" "CEP85"
"41424" "protein_coding" "SH3BGRL3"
"41445" "protein_coding" "UBXN11"
"41809" "protein_coding" "CD52"
"41826" "protein_coding" "CRYBG2"
"42031" "protein_coding" "ZNF683"
"42153" "protein_coding" "LIN28A"
"42182" "protein_coding" "DHDDS"
"42494" "lncRNA" "AL513365.2"
"42504" "protein_coding" "HMGN2"
"42586" "protein_coding" "RPS6KA1"
"43015" "lncRNA" "AL512408.1"
"43018" "protein_coding" "ARID1A"
"43356" "protein_coding" "PIGV"
"43425" "protein_coding" "ZDHHC18"
"43503" "protein_coding" "SFN"
"43511" "protein_coding" "GPN2"
"43562" "lncRNA" "AL034380.1"
"43566" "protein_coding" "GPATCH3"
"43604" "protein_coding" "NUDC"
"43661" "protein_coding" "NR0B2"
"43671" "protein_coding" "KDF1"
"43700" "protein_coding" "TRNP1"
"43717" "protein_coding" "TENT5B"
"43727" "protein_coding" "SLC9A1"
"43801" "lncRNA" "AL590640.1"
"43806" "protein_coding" "WDTC1"
"43938" "protein_coding" "TMEM222"
"44101" "protein_coding" "SYTL1"
"44291" "protein_coding" "MAP3K6"
"44493" "protein_coding" "FCN3"
"44541" "protein_coding" "CD164L2"
"44578" "protein_coding" "GPR3"
"44588" "protein_coding" "WASF2"
"44633" "lncRNA" "FO393419.2"
"44637" "lncRNA" "BX293535.1"
"44641" "protein_coding" "AHDC1"
"44795" "protein_coding" "FGR"
"44945" "lncRNA" "LINC02574"
"44949" "protein_coding" "IFI6"
"44995" "lncRNA" "AL445490.1"
"45022" "lncRNA" "AL020997.5"
"45025" "protein_coding" "FAM76A"
"45169" "protein_coding" "STX12"
"45222" "lncRNA" "AL020997.2"
"45225" "lncRNA" "AL020997.3"
"45228" "lncRNA" "AL020997.4"
"45232" "protein_coding" "PPP1R8"
"45308" "protein_coding" "THEMIS2"
"45417" "protein_coding" "RPA2"
"45513" "protein_coding" "SMPDL3B"
"45617" "lncRNA" "AL512288.1"
"45624" "protein_coding" "XKR8"
"45640" "protein_coding" "EYA3"
"45863" "protein_coding" "PTAFR"
"45893" "protein_coding" "DNAJC8"
"45955" "protein_coding" "ATP5IF1"
"45998" "lncRNA" "AL353622.1"
"46001" "lncRNA" "AL353622.2"
"46004" "protein_coding" "SESN2"
"46030" "protein_coding" "MED18"
"46066" "protein_coding" "PHACTR4"
"46251" "protein_coding" "RCC1"
"46526" "lncRNA" "SNHG3"
"46537" "protein_coding" "TRNAU1AP"
"46619" "lncRNA" "SNHG12"
"46712" "protein_coding" "TAF12"
"46759" "protein_coding" "RAB42"
"46778" "lncRNA" "LINC01715"
"46785" "lncRNA" "AL360012.1"
"46788" "protein_coding" "GMEB1"
"46874" "protein_coding" "YTHDF2"
"46961" "protein_coding" "OPRD1"
"46986" "lncRNA" "AL009181.1"
"46991" "protein_coding" "EPB41"
"48182" "protein_coding" "TMEM200B"
"48201" "lncRNA" "AL357500.1"
"48206" "protein_coding" "SRSF4"
"48285" "protein_coding" "MECR"
"48453" "lncRNA" "AL590729.1"
"48458" "protein_coding" "PTPRU"
"48768" "lncRNA" "LINC01756"
"48773" "lncRNA" "AC092265.1"
"48777" "lncRNA" "AL645944.2"
"48784" "lncRNA" "LINC01648"
"48793" "lncRNA" "AL137076.1"
"48797" "lncRNA" "AL161638.2"
"48802" "lncRNA" "AL161638.1"
"48807" "protein_coding" "MATN1"
"48837" "lncRNA" "MATN1-AS1"
"48860" "lncRNA" "AL137857.1"
"48864" "protein_coding" "LAPTM5"
"48898" "lncRNA" "AL137027.1"
"48902" "lncRNA" "LINC01778"
"48975" "lncRNA" "AL445235.1"
"48979" "protein_coding" "SDC3"
"49015" "protein_coding" "PUM1"
"49577" "protein_coding" "NKAIN1"
"49629" "protein_coding" "SNRNP40"
"49688" "protein_coding" "ZCCHC17"
"49858" "lncRNA" "AL451070.1"
"49863" "protein_coding" "FABP3"
"49911" "protein_coding" "SERINC2"
"50032" "lncRNA" "LINC01226"
"50071" "lncRNA" "AC114488.1"
"50080" "protein_coding" "TINAGL1"
"50216" "protein_coding" "HCRTR1"
"50292" "protein_coding" "PEF1"
"50340" "lncRNA" "AC114488.2"
"50470" "lncRNA" "AC114488.3"
"50474" "protein_coding" "COL16A1"
"50927" "protein_coding" "ADGRB2"
"51476" "lncRNA" "AL354919.2"
"51480" "protein_coding" "SPOCD1"
"51692" "lncRNA" "AL354919.1"
"51696" "lncRNA" "AL136115.2"
"51700" "protein_coding" "PTP4A2"
"51904" "lncRNA" "AL136115.1"
"51908" "lncRNA" "AL136115.3"
"51912" "protein_coding" "KHDRBS1"
"51978" "lncRNA" "AL445248.1"
"51983" "protein_coding" "TMEM39B"
"52092" "protein_coding" "KPNA6"
"52188" "lncRNA" "AL049795.2"
